ucb,ts,ovr,egr,egr2,agr,agr2,efr,ac,aac,sft
25,25,25,25,25,26,25,25,25,25,25
25,25,25,24,23,26,25,25,25,25,25
22,22,22,23,24,22,21,25,25,25,22
27,27,27,25,31,21,27,25,25,25,27
32,32,32,31,26,25,32,25,25,25,32
34,34,34,34,33,22,34,25,25,25,34
25,25,25,26,26,23,25,25,25,25,25
25,25,25,25,23,30,25,25,25,25,25
21,21,21,20,21,24,21,25,25,25,21
24,24,24,25,22,27,24,25,25,25,24
24,24,24,24,22,26,24,25,25,25,24
27,27,27,27,29,25,27,27,27,27,27
29,29,29,28,27,24,29,32,32,32,29
30,30,30,31,28,30,30,31,31,31,30
28,28,28,27,28,29,28,31,31,31,28
27,27,27,28,28,29,27,31,31,31,27
22,22,22,22,24,24,23,32,32,32,22
31,31,31,29,29,30,31,31,31,31,31
23,23,23,23,24,24,23,31,31,31,23
19,19,19,19,16,17,19,31,31,31,19
22,22,22,24,22,30,22,32,32,32,22
23,23,23,22,29,28,24,31,31,31,23
24,24,24,24,22,19,24,31,31,31,24
28,28,28,28,23,22,28,31,31,31,28
33,33,33,33,33,30,33,32,32,32,33
24,24,24,23,28,23,24,28,28,28,24
27,27,27,27,27,25,27,42,42,42,27
22,22,22,22,20,29,22,50,50,50,22
27,27,27,26,24,27,26,50,50,50,27
26,26,26,25,25,21,26,50,50,50,26
22,22,22,20,22,25,22,50,50,50,22
34,34,34,34,32,25,34,50,50,50,34
23,23,23,23,21,25,23,50,50,50,23
29,29,29,28,29,29,29,50,50,50,29
28,28,28,28,26,29,28,50,50,50,28
29,29,29,28,29,28,29,50,50,50,29
23,23,23,22,23,25,23,50,50,50,23
22,22,22,22,20,21,22,50,50,50,22
28,28,28,28,30,24,28,50,50,50,28
24,24,24,24,23,25,24,50,50,50,24
25,25,25,23,23,27,25,50,50,50,25
27,27,27,27,24,29,27,50,50,50,27
33,33,33,32,28,26,33,50,50,50,33
26,26,26,27,22,29,26,50,50,50,26
25,25,25,25,25,23,25,50,50,50,25
26,26,26,26,25,24,26,50,50,50,26
28,28,28,28,26,28,28,50,50,50,28
31,31,31,31,30,32,31,50,50,50,31
24,24,24,23,25,23,24,50,50,50,24
23,23,23,23,19,23,23,50,50,50,23
22,22,22,21,22,24,22,50,50,50,22
35,35,35,35,37,20,35,50,50,50,35
24,24,24,24,23,32,24,50,50,50,24
34,34,34,34,31,32,34,50,50,50,34
22,22,22,24,22,21,22,50,50,50,22
